player_id,full_name,position,team,number,college,years_exp,birth_date,age,height,weight,depth_chart_order,injury_status,injury_body_part,search_full_name,adds,drops,owner_id_freedom,owner_id_uww,display_name_freedom,display_name_uww,merge_name,sleeper_id,year_signed,years,apy,draft_year,draft_round,draft_overall,year_final,years_remaining
6462,Ellis Richardson,TE,,45.0,Georgia Southern,3.0,1995-02-12,31.6,75,245,,,,ellisrichardson,,,,,,,,,,,,,,,,
7926,Carl Tucker,TE,,0.0,Alabama,1.0,1997-02-06,29.6,74,250,,,,carltucker,,,,,,,,,,,,,,,,
1408,Le'Veon Bell,RB,,6.0,Michigan State,9.0,1992-02-18,34.6,73,225,,,,leveonbell,,,,,,,,,,,,,,,,
8074,Matt Seybert,TE,,41.0,Michigan State,1.0,1997-05-02,29.4,76,252,,,,mattseybert,,,,,,,,,,,,,,,,
13175,Kinkead Dent,QB,,,Tennessee-Martin,0.0,2000-07-27,26.1,76,215,,,,kinkeaddent,,,,,,,,,,,,,,,,
2801,DeAndrew White,WR,,18.0,Alabama,7.0,1991-10-16,34.9,72,195,,,,deandrewwhite,,,,,,,,,,,,,,,,
7918,A.J. Rose,RB,,24.0,Kentucky,1.0,1997-10-14,28.9,73,212,,,,ajrose,,,,,,,,,,,,,,,,
5428,Ricky Jeune,WR,,2.0,Georgia Tech,4.0,1993-12-03,32.8,75,212,,,,rickyjeune,,,,,,,,,,,,,,,,
13221,Brett Gabbert,QB,,,Miami (OH),0.0,2000-08-04,26.1,72,206,,,,brettgabbert,,,,,,,,,,,,,,,,
11522,Jerome Kapp,WR,,31.0,Kutztown,1.0,1999-04-07,27.4,75,210,,,,jeromekapp,,,,,,,,,,,,,,,,
2474,Nick Boyle,TE,,86.0,Delaware,8.0,1993-02-17,33.6,76,261,,,,nickboyle,,,,,,,,,,,,,,,,
8809,Aaron Shampklin,RB,,48.0,Harvard,3.0,1999-10-18,26.9,70,195,,,,aaronshampklin,,,,,,,,,,,,,,,,
9487,Parker Washington,WR,JAX,11.0,Penn State,3.0,2002-03-21,24.5,70,204,1.0,,,parkerwashington,6840.0,,731003760045875200,990858054952411136,nolan22snyder,parkergullixon,parkerwashington,9487,2023.0,4.0,1.008066,2023.0,6.0,185.0,2026.0,0.0
3342,Jakeem Grant,WR,,84.0,Texas Tech,8.0,1992-10-30,33.9,67,172,,,,jakeemgrant,,,,,,,,,,,,,,,,
1684,Jaron Brown,WR,,18.0,Clemson,9.0,1990-01-08,36.7,75,205,,,,jaronbrown,,,,,,,,,,,,,,,,
6918,Salvon Ahmed,RB,CHI,36.0,Washington,6.0,1998-12-30,27.7,71,196,,,,salvonahmed,,,,,,,salvonahmed,6918,2026.0,1.0,0.4113,2020.0,,,2026.0,0.0
6137,Tommy Sweeney,TE,,87.0,Boston College,6.0,1995-07-01,31.2,77,255,,,,tommysweeney,,,,,,,,,,,,,,,,
3561,Bryce Williams,TE,,80.0,East Carolina,6.0,1993-02-24,33.6,78,258,,,,brycewilliams,,,,,,,,,,,,,,,,
6786,CeeDee Lamb,WR,DAL,88.0,Oklahoma,6.0,1999-04-08,27.4,74,198,1.0,,,ceedeelamb,,,731172076769128448,990858054952411136,TuckBrock,parkergullixon,ceedeelamb,6786,2024.0,4.0,34.0,2020.0,1.0,17.0,2027.0,1.0
5038,Michael Gallup,WR,,12.0,Colorado State,7.0,1996-03-04,30.5,73,198,,,,michaelgallup,,,,,,,,,,,,,,,,
11584,Bucky Irving,RB,TB,7.0,Oregon,2.0,2002-08-19,24.1,70,195,1.0,,,buckyirving,,,731003760045875200,1357227930467434496,nolan22snyder,OwenBowers,buckyirving,11584,2024.0,4.0,1.187888,2024.0,4.0,125.0,2027.0,1.0
2023,De'Anthony Thomas,WR,,16.0,Oregon,8.0,1993-01-05,33.7,68,176,,,,deanthonythomas,,,,,,,,,,,,,,,,
