player_id,full_name,position,team,number,college,years_exp,birth_date,age,height,weight,depth_chart_order,injury_status,injury_body_part,stats_id,fantasy_data_id
6462,Ellis Richardson,TE,,45.0,Georgia Southern,3.0,1995-02-12,26.0,75,245,,,,887183.0,21427.0
7926,Carl Tucker,TE,,0.0,Alabama,1.0,1997-02-06,24.0,74,250,,,,,
1408,Le'Veon Bell,RB,TB,6.0,Michigan State,9.0,1992-02-18,29.0,73,225,,,,543654.0,14967.0
8074,Matt Seybert,TE,,41.0,Michigan State,1.0,1997-05-02,24.0,76,252,,,,,
7918,A.J. Rose,RB,,24.0,Kentucky,1.0,1997-10-14,24.0,73,212,,,,,
5428,Ricky Jeune,WR,,2.0,Georgia Tech,4.0,1993-12-03,28.0,75,212,,,,748570.0,20526.0
13221,Brett Gabbert,QB,,,Miami (OH),0.0,2000-08-04,25.0,72,206,,,,,
11522,Jerome Kapp,WR,,31.0,Kutztown,1.0,1999-04-07,24.0,75,210,,,,,
2474,Nick Boyle,TE,,86.0,Delaware,8.0,1993-02-17,29.0,76,261,,,,608753.0,16931.0
8809,Aaron Shampklin,RB,,48.0,Harvard,3.0,1999-10-18,25.0,70,195,,,,,
9487,Parker Washington,WR,JAX,11.0,Penn State,3.0,2002-03-21,24.0,70,204,2.0,,,,24143.0
3342,Jakeem Grant,WR,,84.0,Texas Tech,8.0,1992-10-30,32.0,67,172,,,,605325.0,18103.0
1684,Jaron Brown,WR,,18.0,Clemson,9.0,1990-01-08,32.0,75,205,,,,463514.0,15509.0
6918,Salvon Ahmed,RB,CHI,36.0,Washington,6.0,1998-12-30,27.0,71,196,5.0,,,,21843.0
6137,Tommy Sweeney,TE,,87.0,Boston College,6.0,1995-07-01,29.0,77,255,,,,836094.0,20957.0
3561,Bryce Williams,TE,,80.0,East Carolina,6.0,1993-02-24,28.0,78,258,,,,609814.0,18334.0
6786,CeeDee Lamb,WR,DAL,88.0,Oklahoma,6.0,1999-04-08,27.0,74,198,1.0,,,,21679.0
5038,Michael Gallup,WR,,12.0,Colorado State,7.0,1996-03-04,29.0,73,198,,,,912070.0,19867.0
11584,Bucky Irving,RB,TB,7.0,Oregon,2.0,2002-08-19,23.0,70,195,1.0,Questionable,Shoulder,,24967.0
11649,Kendall Milton,RB,CIN,36.0,Georgia,2.0,2002-02-10,24.0,73,230,5.0,,,,23213.0
