player_id,gp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,pass_air_yd,pass_rz_att,rush_att,rush_yd,rush_td,rush_btkl,rush_yac,rush_rz_att,rush_tkl_loss,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_yar,rec_drop,rec_rz_tgt,fum,fum_lost,st_td,off_snp,tm_off_snp,bonus_pass_yd_300,bonus_pass_yd_400,bonus_rush_yd_100,bonus_rush_yd_200,bonus_rec_yd_100,bonus_rec_yd_200,season,position,points_freedom,points_uww,ppg_freedom,ppg_uww,pos_rank_freedom_tot,pos_rank_freedom_per,rank_freedom_tot,rank_freedom_per,pos_rank_uww_tot,pos_rank_uww_per,rank_uww_tot,rank_uww_per,starter_freedom,starter_uww
6462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
7926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
1408,11.0,,,,,,,,,82.0,328.0,2.0,9.0,165.0,12.0,6.0,16.0,20.0,138.0,,2.0,136.0,1.0,5.0,1.0,,,277.0,826.0,,,,,,,2020,RB,74.6,74.6,6.8,6.8,61.0,59.0,214.0,217.0,61.0,59.0,214.0,217.0,False,False
8074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
7918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
5428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
13221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,QB,0.0,0.0,,,71.0,,484.0,,70.0,,483.0,,False,False
11522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
2474,9.0,,,,,,,,,,,,,,,,14.0,17.0,113.0,2.0,72.0,41.0,,3.0,,,,393.0,600.0,,,,,,,2020,TE,37.3,37.3,4.1,4.1,52.0,39.0,293.0,280.0,52.0,39.0,293.0,279.0,False,False
8809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
9487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
3342,14.0,,,,,,,,,3.0,20.0,,,8.0,,1.0,36.0,54.0,373.0,1.0,206.0,167.0,3.0,4.0,2.0,,1.0,379.0,931.0,,,,,,,2020,WR,87.3,87.3,6.2,6.2,84.0,94.0,195.0,229.0,84.0,95.0,195.0,230.0,False,False
1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
6918,6.0,,,,,,,,,75.0,319.0,3.0,4.0,69.0,18.0,8.0,11.0,14.0,61.0,,-10.0,71.0,1.0,1.0,,,,208.0,413.0,,,1.0,,,,2020,RB,69.0,69.0,11.5,11.5,64.0,30.0,222.0,115.0,64.0,30.0,222.0,108.0,False,False
6137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
3561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
6786,16.0,,,,,,1.0,,,10.0,82.0,1.0,,30.0,1.0,,74.0,111.0,935.0,5.0,624.0,311.0,7.0,10.0,2.0,1.0,1.0,731.0,1155.0,,,,,2.0,,2020,WR,219.7,219.7,13.7,13.7,22.0,33.0,54.0,88.0,22.0,33.0,51.0,84.0,True,True
5038,16.0,,,,,,,,,,,,,,,,59.0,105.0,843.0,5.0,597.0,246.0,6.0,12.0,,,,1003.0,1155.0,,,,,2.0,,2020,WR,177.3,177.3,11.1,11.1,36.0,47.0,84.0,122.0,36.0,47.0,80.0,114.0,False,False
11584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
11649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
6783,16.0,,,,,,,,,,,,,,,,52.0,113.0,856.0,3.0,572.0,284.0,10.0,5.0,2.0,,,818.0,1099.0,,,,,2.0,,2020,WR,159.6,159.6,10.0,10.0,42.0,55.0,102.0,144.0,42.0,55.0,98.0,136.0,False,False
13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
11616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
5965,16.0,,,,,,,,,,,,,,,,19.0,33.0,266.0,4.0,182.0,84.0,,5.0,,,,558.0,1055.0,,,,,,,2020,WR,69.6,69.6,4.4,4.4,94.0,111.0,220.0,273.0,94.0,111.0,220.0,272.0,False,False
13064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
4992,7.0,,,,,,,,,,,,,,,,4.0,6.0,76.0,1.0,70.0,6.0,,,1.0,1.0,,116.0,478.0,,,,,,,2020,WR,15.6,15.6,2.2,2.2,150.0,140.0,366.0,355.0,150.0,139.0,366.0,352.0,False,False
11155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
9504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
4828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
4396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
4038,3.0,,,,,,,,,,,,,,,,2.0,7.0,17.0,,14.0,3.0,1.0,,,,,92.0,244.0,,,,,,,2020,WR,3.7,3.7,1.2,1.2,175.0,163.0,436.0,409.0,175.0,163.0,434.0,405.0,False,False
